sentences,business_id,review_id,sentence_id,sentiment
oh and there are gluten-free desserts too!!,ujHiaprwCQ5ewziu0Vi9rw,bVukAtVY271eGzLLkNWbqQ,6,positive
"but here's the absolute kicker...  if you're celiac/gluten-free and going to vegas, you must go to this buffet.",ujHiaprwCQ5ewziu0Vi9rw,bVukAtVY271eGzLLkNWbqQ,7,positive
"and then they'll tell you that basically anything can be made special ordered for you (gluten free): pizza, pasta, french toast, pancakes, etc.",ujHiaprwCQ5ewziu0Vi9rw,bVukAtVY271eGzLLkNWbqQ,9,neutral
"granted, i am allergic to seafood and therefore didn't enjoy the plentiful crab.",ujHiaprwCQ5ewziu0Vi9rw,Fpyk9ZvvtcDcNQwvYtvIOA,5,neutral
$31 for a champagne brunch where they don't allow you to substitute some peach puree for the orange juice because you are allergic to oranges...whatever.,ujHiaprwCQ5ewziu0Vi9rw,KCXmOcf8Gek8-Mx8d9ENvw,1,negative
i stuck with the seafood here mostly because i don't have enough fish in my regular diet at home since my brother decided he is allergic to fish.,ujHiaprwCQ5ewziu0Vi9rw,_qmKBdf0i_N-BCyKeYjeBA,3,neutral
i came here for lunch with my boyfriend who is highly allergic to all types of nuts (especially cashews).,6sATfFam9_q9uod0I2aCsg,2wH860OUVL50KHbL7ugMqg,0,neutral
fresh bread and yes pita that is egg free an gluten free but lots of pastries for people with no dietary restrictions.,EIL41z-hvVCeYHqfA9PyWQ,hB8x-zdwz-anlLXJszOcPQ,1,positive
and they have many gluten free options which are also clearly labeled (a big relief to my wife).,OVTZNSkSfbl3gVB9XQIJfw,pwGQ9FnFVwPbxr23DWFiEQ,6,positive
"i am especially pleased with our last visit where the chef, carlos, prepared me a special gluten-free pasta exactly to my specifications to accommodate my food allergies.",OVTZNSkSfbl3gVB9XQIJfw,CkDT_I9V4qEcv7XUYU2z6A,2,positive
"buffets are nightmares for people with food allergies, so i went into this with really really low expectations (thinking i'll eat a lot of salad).",OVTZNSkSfbl3gVB9XQIJfw,EsQilaK7e_uArJngMIs-fg,0,neutral
"when we were seated, i asked to speak to the chef about my allergies and they couldn't find him.",OVTZNSkSfbl3gVB9XQIJfw,EsQilaK7e_uArJngMIs-fg,4,negative
"when he did come, he was super nice and took us around the entire buffet to show me what i could eat with my gluten and dairy allergy.",OVTZNSkSfbl3gVB9XQIJfw,EsQilaK7e_uArJngMIs-fg,6,positive
they actually had quite a few gluten free options.,OVTZNSkSfbl3gVB9XQIJfw,EsQilaK7e_uArJngMIs-fg,9,positive
"i have a cpl specific allergies i was asking our server about and since she wasnt sure she said shed go ask...what stood out to me though, on our visit, was that two of the chefs came out, introduced themselves, answered all my questions and if they could get us anything!?!?",OVTZNSkSfbl3gVB9XQIJfw,dj0gaEPWUQV_XrfMksUrxg,3,neutral
"i spent the whole night and next day sick from eating chicken, which i am allergic to.",OVTZNSkSfbl3gVB9XQIJfw,ze2JWMLAdaq58au53W_1mg,7,negative
"then they have some labels like the grapefruit -""gluten free"" really???",OVTZNSkSfbl3gVB9XQIJfw,GGwb5Bsv7omy47XorYtMFA,6,negative
"they had a wide variety of classic cakes, multiple gourmet desserts, as well as several sugar free and gluten free options.",OVTZNSkSfbl3gVB9XQIJfw,cUIseSuL4kob_Z3s5XvP3g,6,positive
i skipped the seafood due to an allergy.,OVTZNSkSfbl3gVB9XQIJfw,0jEdFGhbieJ6ALOPHnCfaA,8,neutral
"because he was allergic we asked if it can be remade, and the server said she can only pick it out.",X5uxdU9GHoUAqo2wmbg3OQ,jhRO1ncBhAapcS20nFuuVA,9,negative
i wish that they had a better description of what is in the dish for people with food allergies.,X5uxdU9GHoUAqo2wmbg3OQ,jhRO1ncBhAapcS20nFuuVA,11,negative
my sister and i have celiac disease and we found the staff to be very knowledgeable and courteous about our questions.,eoyvbnRYQe-z85e8Rc6vAg,hJvYWgO0kvZKoRD7qzOQFg,1,positive
"i am not vegan, but i have an egg allergy, which makes eating dessert hard sometimes :'(  green holds a special place in my heart because it was the first place i ever ate dinner at in arizona.",5FIOXmUE3qMviX9GafGH-Q,DvauHHzOlGD8efsuqPsgZA,2,positive
when i moved to arizona my mom (who also has an egg allergy) came out to look at apartments with me.,5FIOXmUE3qMviX9GafGH-Q,DvauHHzOlGD8efsuqPsgZA,3,neutral
a separate gluten free vegan menu for those of us wanting to skip the wheat gluten.,5FIOXmUE3qMviX9GafGH-Q,wPexkOZ9HfwGfh_IlztZUA,1,positive
"the food is pretty good, especially good for vegan fare, they've got a decent gluten free menu set up too!",5FIOXmUE3qMviX9GafGH-Q,20-79_HGankOn4KVph06sg,0,positive
"as a meat-eater with a soy allergy, there are many reasons not to eat here, but i gave all of that up to enjoy as many entrees as possible.",5FIOXmUE3qMviX9GafGH-Q,rsW_qw1RJT2CcE6S-L43ng,2,positive
"this restaurant is amazing for vegans, gluten-free vegans, vegetarians, omnivores... everyone!",5FIOXmUE3qMviX9GafGH-Q,1fM1CAPTlUSnegFqIsrvwg,8,positive
"how i love this place.. living in the city of healthy, organic, locally grown, vegan, gluten free, gmo free, certified rabbit food (aka san francisco)... i've been to a few of these types of restaurants.",5FIOXmUE3qMviX9GafGH-Q,psvIsVInM4CxEK7JxWK5Jw,0,positive
"i'm now gluten-free, and the gluten-free menu is extensive and just as delicious!",5FIOXmUE3qMviX9GafGH-Q,v5fKiFM_gv5hixJJl8B4sQ,4,positive
"they even have vegan gluten-free buns and bread, which is a hard find.",5FIOXmUE3qMviX9GafGH-Q,v5fKiFM_gv5hixJJl8B4sQ,5,positive
my one complaint was the gluten free bread.,5FIOXmUE3qMviX9GafGH-Q,1g9x7YZcXb1n_e6zNzmSeQ,5,negative
i'm just super excited about the fact that most of the bowls are gluten free except the thai peanut.,5FIOXmUE3qMviX9GafGH-Q,wZKBkkggXtNRAJFX45xMaA,7,positive
"they make it with tamari sauce instead of soy sauce, hence the gluten free-ness of the dish.",5FIOXmUE3qMviX9GafGH-Q,wZKBkkggXtNRAJFX45xMaA,9,neutral
"they don't have any gluten ingredients in them either, except for whatever toppings you might toss in.",5FIOXmUE3qMviX9GafGH-Q,wZKBkkggXtNRAJFX45xMaA,11,neutral
will be nice if they gave info on what is gluten free on the menu other than that tasty vegan comfort food.,5FIOXmUE3qMviX9GafGH-Q,xSjF5uctOfqjOgNEFEpXZw,0,negative
a must for the gluten-free diner who wants variety and quality.,5FIOXmUE3qMviX9GafGH-Q,Qtj0e-JOzpuLewJIFqdOBg,0,positive
"the gluten-free menu is very straight-forward, easy to understand and there are plenty of options to choose from.",5FIOXmUE3qMviX9GafGH-Q,Qtj0e-JOzpuLewJIFqdOBg,2,positive
"they have gluten-free buns, so you can actually get to eat a sandwich like a ""real person"", but the rice bowls are tasty and plentiful.",5FIOXmUE3qMviX9GafGH-Q,Qtj0e-JOzpuLewJIFqdOBg,4,positive
"when one has food allergies, no restaurant is totally safe, but this place comes pretty close.",5FIOXmUE3qMviX9GafGH-Q,Qtj0e-JOzpuLewJIFqdOBg,7,positive
the best vegan and gluten free american food around!,5FIOXmUE3qMviX9GafGH-Q,nACTH8ECYZzjPxA68uN8qg,0,positive
i am allergic to peppers and told the cashier this when ordering he assured me there would be none and i got my food and was about to take a big bite into the sand which when i see peppers.,5FIOXmUE3qMviX9GafGH-Q,WaS8CBuUjOZPHWTKTyGYRw,2,negative
"this is an allergy so i had to ask them to make a new one to go, they are very frustrated at me, and i get home to take a bite into a pepper.",5FIOXmUE3qMviX9GafGH-Q,WaS8CBuUjOZPHWTKTyGYRw,5,negative
i travel 20 minutes to green & nami regularly just for their specialty gluten-free and vegan offerings.,5FIOXmUE3qMviX9GafGH-Q,GybPI1Xpxpm1wbgaUTNYbA,1,positive
"when i've asked them about gluten in some of their desserts, they're very knowledgeable and immediately know what does and doesn't, which is a nice surprise.",5FIOXmUE3qMviX9GafGH-Q,yaTkzXN1dynWw4mcTwoeZg,10,positive
i'm a meat eater and eat gluten and all sorts of messed up things..... however this restaurant is the best in the valley.,5FIOXmUE3qMviX9GafGH-Q,KOgBCAYqUwkdpTOLnT-jDw,0,positive
i prefer my meat and cheese and gluten and whatever else vegans cringe at.,5FIOXmUE3qMviX9GafGH-Q,IjpUVZ8l5eyeT4eQ4b0WFg,4,neutral
the menu is creative and there's something for everyone (unless you're allergic to veggies and tofu).,5FIOXmUE3qMviX9GafGH-Q,IjpUVZ8l5eyeT4eQ4b0WFg,14,positive
"i can't imagine eating here often, the food definitely isn't healthy, if you eat whole plant foods, you'll be reminded for a couple days :-/. i was shocked when i asked if there were tree nuts (allergic-not deadly just painful) in anything i wanted to order, it took a while for them to find out & didn't sound sure or convincing (playing with fire).",5FIOXmUE3qMviX9GafGH-Q,AnwUAZ2uaqXDfoEzjG3zeg,2,negative
"the noodles were awesome- i chose rice noodles, because of an allergy and they were delicious.",hcFSc0OHgZJybnjQBrL_8Q,5pMfrpGPijWgosOMrzjL9g,0,positive
i have a food allergy and need everything cooked in a pan with butter than on the grill but usually this does not add to wait time - today this was the reason it took so long according to the manager.,aNe8ofTYrealxqv7VtFTuw,SdcmKZqPQc39xRpHS8pQQg,5,negative
my son loved the bread and our waiter served me potato chips due to my gluten allergy.,CZKkoMlqu0N0zCFK-3T_Fg,GIEGwaUgCG3JlXL6S5Aupg,2,neutral
"my mother-in-law has a sulfate allergy (basically wine or anything fermented), and spoon goes above and beyond in terms of helping to navigate the menu.",CZKkoMlqu0N0zCFK-3T_Fg,txKeGy0cRp1xD4wxjGH90Q,1,positive
"our server was also fantastic with one of our guests requests for alcohol-free cocktails and another guest's allergy to dairy (great coordination between chef, bartender, and waiter).",CZKkoMlqu0N0zCFK-3T_Fg,y5u5OMJ56Ehw-AI1IS8oAg,6,positive
"i explained my gluten intolerance to our server, who very nicely described all their gluten-free offerings and recommendations.",CZKkoMlqu0N0zCFK-3T_Fg,xWKJWooil10D8b_3kQGYcw,3,positive
"i was very relieved by his positive attitude, as i am used to some folks rolling their eyes when i mention gluten-free requirements.",CZKkoMlqu0N0zCFK-3T_Fg,xWKJWooil10D8b_3kQGYcw,4,positive
"example was i wanted one of their sandwiches that comes with salami, capicolla,and ham.. being allergic to ham i requested to have turkey subbed out... i was then told ""sorry we can not do substitutions""... when i explained the reasoning one of the employee's said ""well we can not put ham on it, but we will have to charge you $2 for turkey""... to which of course was like well where's my discount for taking off the ham?",vhIJ91MDgUuk4Cr9Kpj1Nw,iNjybEz-dAPelxEingLwSw,3,negative
"now i can understand if i'm asking to add turkey on top of everything else, or if i asked for double meat... yes charge me extra... but for them to be so rude about this, i would much rather go a little farther to jersey mikes where they happily help me with no issues with my allergies.",vhIJ91MDgUuk4Cr9Kpj1Nw,iNjybEz-dAPelxEingLwSw,5,negative
they asked if i had any food allergies.,5qG4UHurI1yEozwn25WAFw,cywGlIbxntdXUzeJk9CjXg,6,neutral
i didn't say i was allergic to meat!,5qG4UHurI1yEozwn25WAFw,cywGlIbxntdXUzeJk9CjXg,7,neutral
i have never been to a restaurant that cares so much about food allergies and making sure everything is perfect.,5qG4UHurI1yEozwn25WAFw,Fxl2XzltKYwpzm0BeGMDgA,3,positive
prior to entry you can provide any dietary or food allergy information and they will accommodate you.,5qG4UHurI1yEozwn25WAFw,hJsAv2jfBWcBWZ4Z7luHOw,1,positive
"i appreciate that they inquire about allergies, and went ahead and verified why derivations of my allergies were okay, if any.",5qG4UHurI1yEozwn25WAFw,8-4PXlKmpwALetXPHccEsg,5,positive
and they ask about any allergies or objections beforehand so they can make adjustments for each guest's preferences!!,5qG4UHurI1yEozwn25WAFw,fIQKoPPdO6v1sF4kSuACFg,4,positive
so you definitely have to tell then if you have any food allergies.,5qG4UHurI1yEozwn25WAFw,tZBEXBOg6FuYjQf1kZxBWA,7,neutral
"is that a allergy or just some preference?""",yNPh5SO-7wr8HPpVCDPbXQ,wUR8MIrRhj-cA0blIavmIQ,3,neutral
"every one of their desserts had nuts in them and my son is allergic to all tree nuts, so nothing for him.",yNPh5SO-7wr8HPpVCDPbXQ,pXs2SgxEhWfYLpGSw4XctA,9,negative
"dessert: i would not know, i am allergic to peanuts and true nuts, not a single desert was nut free.",yNPh5SO-7wr8HPpVCDPbXQ,TMWHhIZ9XuCzXssyxhliGA,35,negative
"however, i was not impressed with the gluten free options, especially with it being a fox restaurant.",yNPh5SO-7wr8HPpVCDPbXQ,N-DhdzgDdj9dmuim8nU6IQ,1,negative
"when i asked the hostess if there is a gluten free menu and she said 'no, but anything can be made gluten free'.",yNPh5SO-7wr8HPpVCDPbXQ,N-DhdzgDdj9dmuim8nU6IQ,2,neutral
"this is such a wonderful place i was really shocked that there were no vegan, vegetarian or gluten free options.",yNPh5SO-7wr8HPpVCDPbXQ,TzTSWD3cf-EmagheKjbOpg,2,negative
"we ended up going here for my birthday dinner, after a ""higher end"" establishment couldn't accomodate my gluten allergy.",yNPh5SO-7wr8HPpVCDPbXQ,oi1_9Ybpl7evcxuggNwlaw,3,positive
"it looked good but was full of celery, which i'm seriously allergic to, so my mom ended up taking half my dinner off the plate to keep me from puffing up like a blowfish.",yNPh5SO-7wr8HPpVCDPbXQ,bgG3M_i7V63PHziM9Isyog,6,negative
went the day before and asked if my wife could eat there with her peanut and tree nut allergy and they said she could.,HhVmDybpU7L50Kb5A0jXTg,y4XtNqp-EJqcx6Cp2tdVvQ,0,neutral
they had a sandwich i wanted to try but with the allergy situation i was really disappointed my wife couldn't join me in a meal.,HhVmDybpU7L50Kb5A0jXTg,y4XtNqp-EJqcx6Cp2tdVvQ,8,negative
come on guy you are in vegas you should know how to deal with allergies.,HhVmDybpU7L50Kb5A0jXTg,y4XtNqp-EJqcx6Cp2tdVvQ,9,negative
"she not only didn't leave off what i wanted eliminated (pickles), she actually added mushrooms -- i'm allergic to mushrooms and have never asked for them in my life.",HhVmDybpU7L50Kb5A0jXTg,a9W6MUUjM8rJIn0Fd4bjMQ,13,negative
i ordered the ringer with a gluten free bun.,HhVmDybpU7L50Kb5A0jXTg,z-qV3_fUfJuW6jgWmAshWg,16,neutral
the waiter asked if it was an allergy thing or preference because there are other items on the burger with gluten in it.,HhVmDybpU7L50Kb5A0jXTg,z-qV3_fUfJuW6jgWmAshWg,17,neutral
"well, there is not much else on the menu for one that is allergic to hoofed animals.",HhVmDybpU7L50Kb5A0jXTg,n3zPhkrnCS0dyIe57h9Jvg,6,negative
upon arriving my friend asked about gluten free options and those were explained to her at the host stand so we proceeded to get a table and order food with our waitress who was a pleasant young blonde girl.,HhVmDybpU7L50Kb5A0jXTg,AcuWWva8ejamcLYJAl5iqQ,5,positive
i decided to get the mac n cheese burger and was very specific about having an extreme tomato allergy and requested no tomatoes and no bacon--as i do not eat pork.,HhVmDybpU7L50Kb5A0jXTg,AcuWWva8ejamcLYJAl5iqQ,6,neutral
she told us that we didn't inform the waitress or kitchen of my tomato allergy when our waitress already apologized for the kitchen being erroneous in the situation and making the order wrong.,HhVmDybpU7L50Kb5A0jXTg,AcuWWva8ejamcLYJAl5iqQ,18,negative
she went on about the gluten free options they explained to us which had nothing to do with my allergy.,HhVmDybpU7L50Kb5A0jXTg,AcuWWva8ejamcLYJAl5iqQ,19,negative
"she checked on is several times, kept our drinks full and helped us check on food our son could eat with his allergies.",HhVmDybpU7L50Kb5A0jXTg,3ybKJgaOrYrxSSAF9B-4XQ,6,positive
